Results for prediction length: 25
Experiment 23: ADE_a: 0.0638±0.0047, ADE_b: 0.0774±0.0053, ADE_c: 0.1418±0.0355, ADE_c: 0.0734±0.0048, FDE_a: 0.1697±0.0107, FDE_b: 0.1935±0.0110, FDE_c: 0.5593±0.2002, FDE_d: 0.1920±0.0120
Experiment 24: ADE_a: 0.0632±0.0045, ADE_b: 0.0770±0.0065, ADE_c: 0.1401±0.0322, ADE_c: 0.0731±0.0051, FDE_a: 0.1697±0.0098, FDE_b: 0.1942±0.0133, FDE_c: 0.5475±0.1883, FDE_d: 0.1927±0.0122
Experiment 25: ADE_a: 0.0640±0.0046, ADE_b: 0.0776±0.0059, ADE_c: 0.1387±0.0306, ADE_c: 0.0745±0.0054, FDE_a: 0.1683±0.0116, FDE_b: 0.1949±0.0134, FDE_c: 0.5346±0.1781, FDE_d: 0.1933±0.0133
Experiment 26: ADE_a: 0.0639±0.0058, ADE_b: 0.0784±0.0079, ADE_c: 0.1379±0.0280, ADE_c: 0.0748±0.0070, FDE_a: 0.1687±0.0123, FDE_b: 0.1958±0.0162, FDE_c: 0.5261±0.1681, FDE_d: 0.1943±0.0157
Experiment 27: ADE_a: 0.0627±0.0052, ADE_b: 0.0771±0.0068, ADE_c: 0.1336±0.0273, ADE_c: 0.0738±0.0061, FDE_a: 0.1673±0.0117, FDE_b: 0.1954±0.0153, FDE_c: 0.5090±0.1658, FDE_d: 0.1933±0.0144
Experiment 28: ADE_a: 0.0615±0.0042, ADE_b: 0.0759±0.0068, ADE_c: 0.1305±0.0271, ADE_c: 0.0726±0.0058, FDE_a: 0.1647±0.0102, FDE_b: 0.1931±0.0146, FDE_c: 0.4944±0.1638, FDE_d: 0.1911±0.0141
Experiment 29: ADE_a: 0.0606±0.0051, ADE_b: 0.0755±0.0067, ADE_c: 0.1282±0.0251, ADE_c: 0.0728±0.0062, FDE_a: 0.1619±0.0130, FDE_b: 0.1927±0.0154, FDE_c: 0.4846±0.1552, FDE_d: 0.1909±0.0150
Experiment 30: ADE_a: 0.0611±0.0052, ADE_b: 0.0753±0.0067, ADE_c: 0.1255±0.0252, ADE_c: 0.0725±0.0061, FDE_a: 0.1645±0.0123, FDE_b: 0.1922±0.0150, FDE_c: 0.4712±0.1537, FDE_d: 0.1909±0.0146
Experiment 31: ADE_a: 0.0611±0.0045, ADE_b: 0.0759±0.0069, ADE_c: 0.1228±0.0225, ADE_c: 0.0727±0.0063, FDE_a: 0.1656±0.0113, FDE_b: 0.1928±0.0166, FDE_c: 0.4610±0.1444, FDE_d: 0.1913±0.0158
Experiment 32: ADE_a: 0.0610±0.0046, ADE_b: 0.0757±0.0063, ADE_c: 0.1205±0.0222, ADE_c: 0.0728±0.0055, FDE_a: 0.1646±0.0110, FDE_b: 0.1941±0.0136, FDE_c: 0.4469±0.1421, FDE_d: 0.1924±0.0130
Experiment 33: ADE_a: 0.0612±0.0051, ADE_b: 0.0763±0.0064, ADE_c: 0.1190±0.0198, ADE_c: 0.0734±0.0059, FDE_a: 0.1651±0.0134, FDE_b: 0.1944±0.0146, FDE_c: 0.4380±0.1335, FDE_d: 0.1932±0.0146
Experiment 34: ADE_a: 0.0604±0.0050, ADE_b: 0.0756±0.0072, ADE_c: 0.1170±0.0190, ADE_c: 0.0728±0.0062, FDE_a: 0.1629±0.0108, FDE_b: 0.1938±0.0142, FDE_c: 0.4292±0.1271, FDE_d: 0.1921±0.0134
Experiment 35: ADE_a: 0.0601±0.0045, ADE_b: 0.0748±0.0066, ADE_c: 0.1160±0.0169, ADE_c: 0.0719±0.0058, FDE_a: 0.1632±0.0109, FDE_b: 0.1915±0.0140, FDE_c: 0.4233±0.1190, FDE_d: 0.1901±0.0136
Experiment 36: ADE_a: 0.0607±0.0057, ADE_b: 0.0755±0.0076, ADE_c: 0.1138±0.0173, ADE_c: 0.0728±0.0065, FDE_a: 0.1651±0.0124, FDE_b: 0.1937±0.0163, FDE_c: 0.4129±0.1175, FDE_d: 0.1926±0.0145
Experiment 37: ADE_a: 0.0599±0.0044, ADE_b: 0.0748±0.0067, ADE_c: 0.1122±0.0163, ADE_c: 0.0723±0.0061, FDE_a: 0.1620±0.0106, FDE_b: 0.1921±0.0155, FDE_c: 0.4042±0.1135, FDE_d: 0.1906±0.0149
Experiment 38: ADE_a: 0.0608±0.0047, ADE_b: 0.0763±0.0067, ADE_c: 0.1115±0.0155, ADE_c: 0.0730±0.0061, FDE_a: 0.1640±0.0100, FDE_b: 0.1943±0.0149, FDE_c: 0.3982±0.1069, FDE_d: 0.1929±0.0141
Experiment 39: ADE_a: 0.0587±0.0047, ADE_b: 0.0741±0.0069, ADE_c: 0.1086±0.0152, ADE_c: 0.0715±0.0066, FDE_a: 0.1598±0.0109, FDE_b: 0.1905±0.0159, FDE_c: 0.3867±0.1042, FDE_d: 0.1893±0.0153
Experiment 40: ADE_a: 0.0593±0.0051, ADE_b: 0.0747±0.0065, ADE_c: 0.1078±0.0138, ADE_c: 0.0720±0.0063, FDE_a: 0.1608±0.0123, FDE_b: 0.1923±0.0148, FDE_c: 0.3808±0.0966, FDE_d: 0.1905±0.0144
