
Results for prediction length: 25
Experiment 23: ADE_a: 0.0692±0.0042, ADE_b: 0.0825±0.0065, ADE_c: 0.1735±0.0605, ADE_c: 0.0808±0.0060, FDE_a: 0.1822±0.0089, FDE_b: 0.2134±0.0143, FDE_c: 0.6984±0.3352, FDE_d: 0.2116±0.0142
Experiment 24: ADE_a: 0.0681±0.0043, ADE_b: 0.0821±0.0061, ADE_c: 0.1691±0.0565, ADE_c: 0.0805±0.0058, FDE_a: 0.1791±0.0128, FDE_b: 0.2133±0.0137, FDE_c: 0.6778±0.3215, FDE_d: 0.2118±0.0139
Experiment 25: ADE_a: 0.0684±0.0040, ADE_b: 0.0827±0.0066, ADE_c: 0.1677±0.0530, ADE_c: 0.0811±0.0061, FDE_a: 0.1794±0.0097, FDE_b: 0.2137±0.0150, FDE_c: 0.6674±0.3084, FDE_d: 0.2123±0.0147
Experiment 26: ADE_a: 0.0683±0.0037, ADE_b: 0.0831±0.0064, ADE_c: 0.1655±0.0496, ADE_c: 0.0812±0.0061, FDE_a: 0.1780±0.0087, FDE_b: 0.2152±0.0141, FDE_c: 0.6625±0.2950, FDE_d: 0.2128±0.0143
Experiment 27: ADE_a: 0.0681±0.0041, ADE_b: 0.0834±0.0040, ADE_c: 0.1638±0.0486, ADE_c: 0.0814±0.0044, FDE_a: 0.1778±0.0132, FDE_b: 0.2164±0.0086, FDE_c: 0.6480±0.2842, FDE_d: 0.2137±0.0102
Experiment 28: ADE_a: 0.0673±0.0046, ADE_b: 0.0825±0.0056, ADE_c: 0.1589±0.0481, ADE_c: 0.0805±0.0057, FDE_a: 0.1769±0.0117, FDE_b: 0.2150±0.0134, FDE_c: 0.6277±0.2828, FDE_d: 0.2117±0.0142
Experiment 29: ADE_a: 0.0689±0.0048, ADE_b: 0.0830±0.0065, ADE_c: 0.1555±0.0419, ADE_c: 0.0812±0.0063, FDE_a: 0.1813±0.0142, FDE_b: 0.2165±0.0160, FDE_c: 0.6135±0.2593, FDE_d: 0.2141±0.0159
Experiment 30: ADE_a: 0.0684±0.0035, ADE_b: 0.0832±0.0067, ADE_c: 0.1544±0.0389, ADE_c: 0.0815±0.0058, FDE_a: 0.1802±0.0085, FDE_b: 0.2152±0.0151, FDE_c: 0.6076±0.2512, FDE_d: 0.2133±0.0137
Experiment 31: ADE_a: 0.0660±0.0049, ADE_b: 0.0822±0.0060, ADE_c: 0.1527±0.0393, ADE_c: 0.0802±0.0057, FDE_a: 0.1738±0.0138, FDE_b: 0.2142±0.0131, FDE_c: 0.6002±0.2460, FDE_d: 0.2110±0.0136
Experiment 32: ADE_a: 0.0677±0.0041, ADE_b: 0.0830±0.0063, ADE_c: 0.1519±0.0363, ADE_c: 0.0812±0.0060, FDE_a: 0.1790±0.0099, FDE_b: 0.2147±0.0145, FDE_c: 0.5949±0.2410, FDE_d: 0.2125±0.0144
Experiment 33: ADE_a: 0.0678±0.0036, ADE_b: 0.0830±0.0056, ADE_c: 0.1504±0.0366, ADE_c: 0.0812±0.0057, FDE_a: 0.1781±0.0101, FDE_b: 0.2153±0.0140, FDE_c: 0.5872±0.2384, FDE_d: 0.2127±0.0144
Experiment 34: ADE_a: 0.0684±0.0042, ADE_b: 0.0826±0.0058, ADE_c: 0.1463±0.0343, ADE_c: 0.0809±0.0058, FDE_a: 0.1798±0.0123, FDE_b: 0.2144±0.0132, FDE_c: 0.5677±0.2262, FDE_d: 0.2122±0.0136
Experiment 35: ADE_a: 0.0667±0.0041, ADE_b: 0.0821±0.0064, ADE_c: 0.1487±0.0379, ADE_c: 0.0807±0.0061, FDE_a: 0.1749±0.0114, FDE_b: 0.2133±0.0143, FDE_c: 0.5734±0.2398, FDE_d: 0.2115±0.0143
Experiment 36: ADE_a: 0.0690±0.0046, ADE_b: 0.0831±0.0067, ADE_c: 0.1504±0.0447, ADE_c: 0.0814±0.0061, FDE_a: 0.1819±0.0124, FDE_b: 0.2157±0.0157, FDE_c: 0.5866±0.2777, FDE_d: 0.2137±0.0151
Experiment 37: ADE_a: 0.0670±0.0051, ADE_b: 0.0820±0.0063, ADE_c: 0.1477±0.0367, ADE_c: 0.0806±0.0059, FDE_a: 0.1769±0.0129, FDE_b: 0.2133±0.0156, FDE_c: 0.5874±0.2695, FDE_d: 0.2117±0.0145
