
Results for prediction length: 25
Experiment 23: ADE_a: 0.0665±0.0042, ADE_b: 0.0809±0.0058, ADE_c: 0.2222±0.0411, ADE_c: 0.0749±0.0029, FDE_a: 0.1735±0.0104, FDE_b: 0.1986±0.0087, FDE_c: 0.9841±0.3114, FDE_d: 0.1966±0.0095
Experiment 24: ADE_a: 0.0659±0.0069, ADE_b: 0.0799±0.0089, ADE_c: 0.2355±0.0597, ADE_c: 0.0746±0.0068, FDE_a: 0.1714±0.0151, FDE_b: 0.1971±0.0155, FDE_c: 1.0417±0.3572, FDE_d: 0.1959±0.0159
Experiment 25: ADE_a: 0.0636±0.0054, ADE_b: 0.0792±0.0085, ADE_c: 0.2110±0.0421, ADE_c: 0.0732±0.0062, FDE_a: 0.1689±0.0148, FDE_b: 0.1962±0.0168, FDE_c: 0.9224±0.2822, FDE_d: 0.1946±0.0162
Experiment 26: ADE_a: 0.0638±0.0040, ADE_b: 0.0788±0.0058, ADE_c: 0.2238±0.0337, ADE_c: 0.0735±0.0051, FDE_a: 0.1680±0.0095, FDE_b: 0.1978±0.0130, FDE_c: 0.9760±0.2367, FDE_d: 0.1964±0.0134
Experiment 27: ADE_a: 0.0637±0.0047, ADE_b: 0.0793±0.0080, ADE_c: 0.2256±0.0450, ADE_c: 0.0731±0.0065, FDE_a: 0.1703±0.0111, FDE_b: 0.1961±0.0167, FDE_c: 0.9643±0.2757, FDE_d: 0.1950±0.0161
Experiment 28: ADE_a: 0.0635±0.0049, ADE_b: 0.0777±0.0067, ADE_c: 0.2270±0.0341, ADE_c: 0.0728±0.0053, FDE_a: 0.1676±0.0142, FDE_b: 0.1943±0.0149, FDE_c: 1.2294±0.6716, FDE_d: 0.1933±0.0155
Experiment 29: ADE_a: 0.0647±0.0051, ADE_b: 0.0800±0.0083, ADE_c: 0.2492±0.0832, ADE_c: 0.0745±0.0067, FDE_a: 0.1730±0.0103, FDE_b: 0.2004±0.0146, FDE_c: 1.0124±0.3477, FDE_d: 0.1993±0.0137
Experiment 30: ADE_a: 0.0641±0.0053, ADE_b: 0.0780±0.0070, ADE_c: 0.2734±0.1356, ADE_c: 0.0732±0.0066, FDE_a: 0.1701±0.0124, FDE_b: 0.1948±0.0159, FDE_c: 0.9609±0.2228, FDE_d: 0.1936±0.0158
Experiment 31: ADE_a: 0.0624±0.0044, ADE_b: 0.0775±0.0068, ADE_c: 0.3606±0.3184, ADE_c: 0.0724±0.0056, FDE_a: 0.1667±0.0105, FDE_b: 0.1957±0.0154, FDE_c: 0.9420±0.2159, FDE_d: 0.1945±0.0159
Experiment 32: ADE_a: 0.0649±0.0035, ADE_b: 0.0804±0.0055, ADE_c: 0.2308±0.0400, ADE_c: 0.0751±0.0042, FDE_a: 0.1717±0.0103, FDE_b: 0.2019±0.0118, FDE_c: 1.0020±0.2404, FDE_d: 0.1995±0.0125
Experiment 33: ADE_a: 0.0636±0.0064, ADE_b: 0.0779±0.0066, ADE_c: 0.2298±0.0684, ADE_c: 0.0730±0.0063, FDE_a: 0.1712±0.0142, FDE_b: 0.1981±0.0139, FDE_c: 0.9432±0.3291, FDE_d: 0.1963±0.0150
Experiment 34: ADE_a: 0.0671±0.0116, ADE_b: 0.0853±0.0207, ADE_c: 0.2791±0.1189, ADE_c: 0.0794±0.0190, FDE_a: 0.1805±0.0261, FDE_b: 0.1992±0.0196, FDE_c: 1.4250±0.6558, FDE_d: 0.1990±0.0196
Experiment 35: ADE_a: 0.0656±0.0059, ADE_b: 0.0803±0.0077, ADE_c: 0.4924±0.5373, ADE_c: 0.0756±0.0066, FDE_a: 0.1712±0.0143, FDE_b: 0.2002±0.0181, FDE_c: 2.1864±1.7667, FDE_d: 0.1990±0.0167
Experiment 36: ADE_a: 0.0616±0.0056, ADE_b: 0.0765±0.0072, ADE_c: 0.1837±0.0480, ADE_c: 0.0717±0.0063, FDE_a: 0.1673±0.0158, FDE_b: 0.1953±0.0161, FDE_c: 0.8732±0.3807, FDE_d: 0.1946±0.0165
Experiment 37: ADE_a: 0.0638±0.0061, ADE_b: 0.0781±0.0073, ADE_c: 1.0752±1.7557, ADE_c: 0.0744±0.0067, FDE_a: 0.1683±0.0154, FDE_b: 0.1982±0.0159, FDE_c: 18.8009±35.7695, FDE_d: 0.1972±0.0160
Experiment 38: ADE_a: 0.0620±0.0039, ADE_b: 0.0776±0.0059, ADE_c: 2.6453±4.8851, ADE_c: 0.0726±0.0048, FDE_a: 0.1663±0.0107, FDE_b: 0.1977±0.0148, FDE_c: 56.9778±111.8631, FDE_d: 0.1961±0.0144
Experiment 39: ADE_a: 0.0620±0.0050, ADE_b: 0.0764±0.0072, ADE_c: 0.2572±0.1477, ADE_c: 0.0714±0.0062, FDE_a: 0.1715±0.0096, FDE_b: 0.1961±0.0137, FDE_c: 2.4154±2.7989, FDE_d: 0.1956±0.0130
Experiment 40: ADE_a: 0.0623±0.0061, ADE_b: 0.0762±0.0080, ADE_c: 0.1732±0.0620, ADE_c: 0.0713±0.0067, FDE_a: 0.1714±0.0152, FDE_b: 0.1950±0.0179, FDE_c: 0.8667±0.5547, FDE_d: 0.1945±0.0176
Experiment 41: ADE_a: 0.0634±0.0056, ADE_b: 0.0782±0.0075, ADE_c: 264.6394±528.8861, ADE_c: 0.0734±0.0067, FDE_a: 0.1730±0.0137, FDE_b: 0.1994±0.0172, FDE_c: 5009.9308±10017.7866, FDE_d: 0.1982±0.0170
Experiment 42: ADE_a: 0.0646±0.0077, ADE_b: 0.0805±0.0105, ADE_c: 4.5753±8.7366, ADE_c: 0.0764±0.0108, FDE_a: 0.1704±0.0150, FDE_b: 0.2012±0.0209, FDE_c: 10.7669±19.1307, FDE_d: 0.2000±0.0200
Experiment 43: ADE_a: 0.0614±0.0057, ADE_b: 0.0766±0.0079, ADE_c: 0.3836±0.3275, ADE_c: 0.0717±0.0077, FDE_a: 0.1672±0.0114, FDE_b: 0.1941±0.0152, FDE_c: 1.3979±1.2586, FDE_d: 0.1931±0.0144
Experiment 44: ADE_a: 0.0629±0.0071, ADE_b: 0.0784±0.0100, ADE_c: 0.7266±0.8081, ADE_c: 0.0742±0.0094, FDE_a: 0.1674±0.0144, FDE_b: 0.1970±0.0199, FDE_c: 2.4640±2.9122, FDE_d: 0.1958±0.0188
Experiment 45: ADE_a: 0.0614±0.0037, ADE_b: 0.0756±0.0042, ADE_c: 90.7038±180.7783, ADE_c: 0.0717±0.0047, FDE_a: 0.1666±0.0092, FDE_b: 0.1933±0.0118, FDE_c: 588.5250±1172.4671, FDE_d: 0.1927±0.0114
Experiment 46: ADE_a: 0.0602±0.0061, ADE_b: 0.0749±0.0058, ADE_c: 0.3433±0.3115, ADE_c: 0.0705±0.0053, FDE_a: 0.1647±0.0163, FDE_b: 0.1928±0.0134, FDE_c: 1.3420±1.5021, FDE_d: 0.1921±0.0133
Experiment 47: ADE_a: 0.0603±0.0053, ADE_b: 0.0759±0.0068, ADE_c: 0.2323±0.1740, ADE_c: 0.0706±0.0058, FDE_a: 0.1663±0.0125, FDE_b: 0.1940±0.0140, FDE_c: 1.7093±2.2280, FDE_d: 0.1930±0.0137
Experiment 48: ADE_a: 0.0602±0.0052, ADE_b: 0.0749±0.0065, ADE_c: 0.2194±0.1633, ADE_c: 0.0702±0.0068, FDE_a: 0.1655±0.0104, FDE_b: 0.1917±0.0143, FDE_c: 1.3577±1.6154, FDE_d: 0.1914±0.0138
Experiment 49: ADE_a: 0.0612±0.0049, ADE_b: 0.0765±0.0070, ADE_c: 0.1965±0.1112, ADE_c: 0.0718±0.0061, FDE_a: 0.1677±0.0104, FDE_b: 0.1954±0.0146, FDE_c: 0.9928±0.9648, FDE_d: 0.1946±0.0141

Results for prediction length: 50
Experiment 01: ADE_a: 0.2553±0.0112, ADE_b: 0.2954±0.0134, ADE_c: 0.9384±0.3652, ADE_c: 0.2556±0.0066, FDE_a: 0.5493±0.0156, FDE_b: 0.5752±0.0182, FDE_c: 2.9764±1.0134, FDE_d: 0.5750±0.0119
Experiment 02: ADE_a: 0.2417±0.0094, ADE_b: 0.2851±0.0110, ADE_c: 0.9772±0.3922, ADE_c: 0.2378±0.0147, FDE_a: 0.5323±0.0360, FDE_b: 0.5395±0.0244, FDE_c: 3.1172±1.0413, FDE_d: 0.5375±0.0235
Experiment 03: ADE_a: 0.2350±0.0074, ADE_b: 0.2784±0.0168, ADE_c: 1.0291±0.4419, ADE_c: 0.2322±0.0101, FDE_a: 0.5267±0.0351, FDE_b: 0.5257±0.0252, FDE_c: 3.2598±1.1371, FDE_d: 0.5277±0.0204
Experiment 04: ADE_a: 0.2244±0.0123, ADE_b: 0.2742±0.0180, ADE_c: 1.0724±0.4515, ADE_c: 0.2283±0.0170, FDE_a: 0.5150±0.0331, FDE_b: 0.5298±0.0374, FDE_c: 3.3910±1.1549, FDE_d: 0.5264±0.0371
Experiment 05: ADE_a: 0.2259±0.0126, ADE_b: 0.2700±0.0112, ADE_c: 1.1036±0.4802, ADE_c: 0.2297±0.0195, FDE_a: 0.5087±0.0243, FDE_b: 0.5229±0.0332, FDE_c: 3.4636±1.2168, FDE_d: 0.5208±0.0333
Experiment 06: ADE_a: 0.2269±0.0168, ADE_b: 0.2619±0.0096, ADE_c: 1.1323±0.4840, ADE_c: 0.2294±0.0185, FDE_a: 0.5084±0.0380, FDE_b: 0.5232±0.0347, FDE_c: 3.5495±1.2318, FDE_d: 0.5269±0.0395
Experiment 07: ADE_a: 0.2204±0.0118, ADE_b: 0.2564±0.0155, ADE_c: 1.1320±0.4935, ADE_c: 0.2274±0.0121, FDE_a: 0.4976±0.0390, FDE_b: 0.5251±0.0216, FDE_c: 3.5643±1.2525, FDE_d: 0.5253±0.0262
Experiment 08: ADE_a: 0.2173±0.0152, ADE_b: 0.2559±0.0144, ADE_c: 1.1434±0.5102, ADE_c: 0.2275±0.0116, FDE_a: 0.4890±0.0279, FDE_b: 0.5240±0.0201, FDE_c: 3.5996±1.2921, FDE_d: 0.5231±0.0226
Experiment 09: ADE_a: 0.2161±0.0155, ADE_b: 0.2571±0.0177, ADE_c: 1.1469±0.5191, ADE_c: 0.2284±0.0142, FDE_a: 0.4877±0.0304, FDE_b: 0.5261±0.0299, FDE_c: 3.6221±1.3058, FDE_d: 0.5248±0.0315
Experiment 10: ADE_a: 0.2146±0.0163, ADE_b: 0.2526±0.0193, ADE_c: 1.1598±0.5325, ADE_c: 0.2240±0.0139, FDE_a: 0.4856±0.0268, FDE_b: 0.5254±0.0287, FDE_c: 3.6539±1.3359, FDE_d: 0.5242±0.0304
Experiment 11: ADE_a: 0.2138±0.0152, ADE_b: 0.2540±0.0195, ADE_c: 1.1721±0.5367, ADE_c: 0.2256±0.0141, FDE_a: 0.4872±0.0219, FDE_b: 0.5287±0.0288, FDE_c: 3.6802±1.3479, FDE_d: 0.5281±0.0307
Experiment 12: ADE_a: 0.2144±0.0181, ADE_b: 0.2589±0.0164, ADE_c: 1.1853±0.5336, ADE_c: 0.2290±0.0138, FDE_a: 0.4921±0.0367, FDE_b: 0.5393±0.0240, FDE_c: 3.7306±1.3516, FDE_d: 0.5358±0.0274
Experiment 13: ADE_a: 0.2246±0.0188, ADE_b: 0.2601±0.0153, ADE_c: 1.1969±0.5304, ADE_c: 0.2338±0.0182, FDE_a: 0.5114±0.0335, FDE_b: 0.5461±0.0333, FDE_c: 3.7532±1.3425, FDE_d: 0.5500±0.0377
Experiment 14: ADE_a: 0.2179±0.0203, ADE_b: 0.2613±0.0226, ADE_c: 1.2057±0.5585, ADE_c: 0.2320±0.0188, FDE_a: 0.4971±0.0377, FDE_b: 0.5421±0.0303, FDE_c: 3.7679±1.3927, FDE_d: 0.5403±0.0336
Experiment 15: ADE_a: 0.2159±0.0110, ADE_b: 0.2565±0.0168, ADE_c: 1.2138±0.5622, ADE_c: 0.2285±0.0119, FDE_a: 0.4982±0.0178, FDE_b: 0.5375±0.0262, FDE_c: 3.7826±1.4031, FDE_d: 0.5392±0.0245
Experiment 16: ADE_a: 0.2143±0.0157, ADE_b: 0.2572±0.0207, ADE_c: 1.2239±0.5747, ADE_c: 0.2281±0.0150, FDE_a: 0.4930±0.0283, FDE_b: 0.5368±0.0315, FDE_c: 3.8073±1.4426, FDE_d: 0.5364±0.0328
Experiment 17: ADE_a: 0.2187±0.0173, ADE_b: 0.2626±0.0215, ADE_c: 1.2478±0.5988, ADE_c: 0.2346±0.0195, FDE_a: 0.4962±0.0277, FDE_b: 0.5461±0.0349, FDE_c: 3.8255±1.4453, FDE_d: 0.5437±0.0360
Experiment 18: ADE_a: 0.2197±0.0124, ADE_b: 0.2620±0.0216, ADE_c: 1.2289±0.5691, ADE_c: 0.2339±0.0144, FDE_a: 0.5047±0.0264, FDE_b: 0.5447±0.0323, FDE_c: 3.8315±1.4517, FDE_d: 0.5466±0.0294
Experiment 19: ADE_a: 0.2213±0.0176, ADE_b: 0.2637±0.0228, ADE_c: 1.2392±0.5761, ADE_c: 0.2339±0.0160, FDE_a: 0.5088±0.0338, FDE_b: 0.5492±0.0334, FDE_c: 3.8326±1.4596, FDE_d: 0.5525±0.0332
Experiment 20: ADE_a: 0.2175±0.0140, ADE_b: 0.2636±0.0206, ADE_c: 1.2290±0.5859, ADE_c: 0.2342±0.0138, FDE_a: 0.4994±0.0290, FDE_b: 0.5530±0.0292, FDE_c: 3.8237±1.4903, FDE_d: 0.5508±0.0297
Experiment 21: ADE_a: 0.2185±0.0145, ADE_b: 0.2650±0.0241, ADE_c: 1.2260±0.5862, ADE_c: 0.2353±0.0167, FDE_a: 0.5011±0.0281, FDE_b: 0.5574±0.0312, FDE_c: 3.8039±1.5025, FDE_d: 0.5575±0.0307
Experiment 22: ADE_a: 0.2198±0.0146, ADE_b: 0.2669±0.0225, ADE_c: 1.2265±0.5899, ADE_c: 0.2355±0.0151, FDE_a: 0.5057±0.0326, FDE_b: 0.5551±0.0291, FDE_c: 3.7999±1.5117, FDE_d: 0.5554±0.0289
Experiment 23: ADE_a: 0.2177±0.0139, ADE_b: 0.2667±0.0192, ADE_c: 1.2261±0.5935, ADE_c: 0.2364±0.0143, FDE_a: 0.4996±0.0286, FDE_b: 0.5589±0.0268, FDE_c: 3.7924±1.5325, FDE_d: 0.5572±0.0278
Experiment 24: ADE_a: 0.2184±0.0152, ADE_b: 0.2686±0.0226, ADE_c: 1.2206±0.5935, ADE_c: 0.2384±0.0154, FDE_a: 0.5031±0.0340, FDE_b: 0.5673±0.0312, FDE_c: 3.7852±1.5322, FDE_d: 0.5656±0.0316
