Results for prediction length: 25
Experiment 23: ADE_a: 0.0664±0.0017, ADE_b: 0.0816±0.0043, ADE_c: 0.4769±0.5404, ADE_c: 0.0718±0.0056, FDE_a: 0.1723±0.0078, FDE_b: 0.1902±0.0130, FDE_c: 1.2370±0.9244, FDE_d: 0.1887±0.0128
Experiment 24: ADE_a: 0.0662±0.0026, ADE_b: 0.0809±0.0035, ADE_c: 0.4820±0.5814, ADE_c: 0.0714±0.0063, FDE_a: 0.1750±0.0023, FDE_b: 0.1897±0.0144, FDE_c: 1.2500±0.9930, FDE_d: 0.1888±0.0135
Experiment 25: ADE_a: 0.0654±0.0029, ADE_b: 0.0822±0.0026, ADE_c: 0.5818±0.6718, ADE_c: 0.0721±0.0065, FDE_a: 0.1700±0.0065, FDE_b: 0.1903±0.0147, FDE_c: 1.4083±1.2021, FDE_d: 0.1890±0.0138
Experiment 26: ADE_a: 0.0640±0.0027, ADE_b: 0.0796±0.0036, ADE_c: 0.7168±0.7882, ADE_c: 0.0708±0.0067, FDE_a: 0.1660±0.0043, FDE_b: 0.1877±0.0162, FDE_c: 1.7393±1.5441, FDE_d: 0.1867±0.0158
Experiment 27: ADE_a: 0.0656±0.0034, ADE_b: 0.0820±0.0046, ADE_c: 0.6205±0.8737, ADE_c: 0.0734±0.0053, FDE_a: 0.1669±0.0078, FDE_b: 0.1937±0.0157, FDE_c: 1.5540±1.7030, FDE_d: 0.1916±0.0151
Experiment 28: ADE_a: 0.0631±0.0028, ADE_b: 0.0793±0.0041, ADE_c: 0.8555±0.9311, ADE_c: 0.0703±0.0054, FDE_a: 0.1668±0.0050, FDE_b: 0.1868±0.0131, FDE_c: 2.0775±1.8893, FDE_d: 0.1854±0.0132
Experiment 29: ADE_a: 0.0629±0.0043, ADE_b: 0.0793±0.0037, ADE_c: 0.6695±0.9561, ADE_c: 0.0707±0.0078, FDE_a: 0.1667±0.0071, FDE_b: 0.1880±0.0156, FDE_c: 1.5999±1.8198, FDE_d: 0.1868±0.0158
Experiment 30: ADE_a: 0.0623±0.0027, ADE_b: 0.0777±0.0021, ADE_c: 0.8800±1.1405, ADE_c: 0.0702±0.0062, FDE_a: 0.1646±0.0066, FDE_b: 0.1878±0.0163, FDE_c: 2.0352±2.4231, FDE_d: 0.1863±0.0157
Experiment 31: ADE_a: 0.0621±0.0041, ADE_b: 0.0792±0.0038, ADE_c: 0.7736±1.1564, ADE_c: 0.0705±0.0078, FDE_a: 0.1662±0.0065, FDE_b: 0.1879±0.0167, FDE_c: 1.8797±2.4077, FDE_d: 0.1864±0.0168
Experiment 32: ADE_a: 0.0630±0.0043, ADE_b: 0.0784±0.0036, ADE_c: 0.8351±1.3037, ADE_c: 0.0713±0.0079, FDE_a: 0.1686±0.0059, FDE_b: 0.1904±0.0172, FDE_c: 2.0571±2.7817, FDE_d: 0.1888±0.0165
Experiment 33: ADE_a: 0.0600±0.0043, ADE_b: 0.0754±0.0029, ADE_c: 0.9648±1.4767, ADE_c: 0.0685±0.0075, FDE_a: 0.1609±0.0066, FDE_b: 0.1844±0.0163, FDE_c: 2.2233±3.0051, FDE_d: 0.1833±0.0164
Experiment 34: ADE_a: 0.0601±0.0038, ADE_b: 0.0756±0.0034, ADE_c: 1.4794±1.7032, ADE_c: 0.0690±0.0079, FDE_a: 0.1616±0.0039, FDE_b: 0.1852±0.0174, FDE_c: 2.3273±3.0575, FDE_d: 0.1841±0.0166
Experiment 35: ADE_a: 0.0587±0.0027, ADE_b: 0.0745±0.0037, ADE_c: 2.1692±2.4976, ADE_c: 0.0671±0.0053, FDE_a: 0.1599±0.0056, FDE_b: 0.1820±0.0136, FDE_c: 2.7064±3.0667, FDE_d: 0.1806±0.0138
Experiment 36: ADE_a: 0.0583±0.0033, ADE_b: 0.0746±0.0021, ADE_c: 1.2255±2.1199, ADE_c: 0.0678±0.0060, FDE_a: 0.1568±0.0055, FDE_b: 0.1840±0.0153, FDE_c: 2.3838±3.5417, FDE_d: 0.1819±0.0152
Experiment 37: ADE_a: 0.0587±0.0045, ADE_b: 0.0753±0.0016, ADE_c: 2.2665±2.6021, ADE_c: 0.0689±0.0062, FDE_a: 0.1590±0.0092, FDE_b: 0.1870±0.0141, FDE_c: 4.8611±5.5523, FDE_d: 0.1851±0.0141
Experiment 38: ADE_a: 0.0569±0.0040, ADE_b: 0.0732±0.0024, ADE_c: 1.3507±2.3528, ADE_c: 0.0670±0.0062, FDE_a: 0.1538±0.0079, FDE_b: 0.1830±0.0135, FDE_c: 2.4242±3.6543, FDE_d: 0.1807±0.0142
Experiment 39: ADE_a: 0.0580±0.0045, ADE_b: 0.0742±0.0028, ADE_c: 1.9062±2.9446, ADE_c: 0.0674±0.0069, FDE_a: 0.1566±0.0094, FDE_b: 0.1827±0.0137, FDE_c: 2.9941±4.5453, FDE_d: 0.1808±0.0141
Experiment 40: ADE_a: 0.0585±0.0043, ADE_b: 0.0740±0.0032, ADE_c: 3.3339±5.8748, ADE_c: 0.0682±0.0061, FDE_a: 0.1563±0.0101, FDE_b: 0.1849±0.0151, FDE_c: 2.7392±3.7349, FDE_d: 0.1823±0.0153
Experiment 41: ADE_a: 0.0598±0.0029, ADE_b: 0.0760±0.0036, ADE_c: 2.4862±3.5535, ADE_c: 0.0703±0.0046, FDE_a: 0.1595±0.0071, FDE_b: 0.1895±0.0129, FDE_c: 3.7104±4.6112, FDE_d: 0.1876±0.0126
Experiment 42: ADE_a: 0.0580±0.0027, ADE_b: 0.0724±0.0037, ADE_c: 2.9224±4.0474, ADE_c: 0.0667±0.0038, FDE_a: 0.1591±0.0062, FDE_b: 0.1822±0.0089, FDE_c: 3.7690±4.3067, FDE_d: 0.1812±0.0086
Experiment 43: ADE_a: 0.0587±0.0053, ADE_b: 0.0733±0.0036, ADE_c: 2.4669±4.6493, ADE_c: 0.0679±0.0072, FDE_a: 0.1590±0.0086, FDE_b: 0.1841±0.0144, FDE_c: 3.5582±6.0812, FDE_d: 0.1829±0.0147
Experiment 44: ADE_a: 0.0573±0.0051, ADE_b: 0.0721±0.0045, ADE_c: 3.9333±7.3910, ADE_c: 0.0666±0.0061, FDE_a: 0.1525±0.0124, FDE_b: 0.1814±0.0143, FDE_c: 4.2330±7.1203, FDE_d: 0.1792±0.0144
Experiment 45: ADE_a: 0.0579±0.0038, ADE_b: 0.0725±0.0033, ADE_c: 10.1111±12.4102, ADE_c: 0.0667±0.0060, FDE_a: 0.1575±0.0092, FDE_b: 0.1817±0.0150, FDE_c: 6.4659±7.9361, FDE_d: 0.1801±0.0145
Experiment 46: ADE_a: 0.0555±0.0045, ADE_b: 0.0712±0.0017, ADE_c: 13.3232±22.0432, ADE_c: 0.0654±0.0066, FDE_a: 0.1510±0.0092, FDE_b: 0.1810±0.0153, FDE_c: 14.7619±23.7794, FDE_d: 0.1788±0.0153
Experiment 47: ADE_a: 0.0562±0.0052, ADE_b: 0.0697±0.0028, ADE_c: 39.1982±52.0444, ADE_c: 0.0644±0.0064, FDE_a: 0.1551±0.0107, FDE_b: 0.1789±0.0149, FDE_c: 34.3800±41.6280, FDE_d: 0.1773±0.0149
Experiment 48: ADE_a: 0.0553±0.0054, ADE_b: 0.0700±0.0042, ADE_c: 50.7633±98.6965, ADE_c: 0.0646±0.0069, FDE_a: 0.1508±0.0110, FDE_b: 0.1789±0.0147, FDE_c: 51.2601±99.8919, FDE_d: 0.1776±0.0157
Experiment 49: ADE_a: 0.0566±0.0055, ADE_b: 0.0713±0.0044, ADE_c: 29.3480±58.2081, ADE_c: 0.0659±0.0062, FDE_a: 0.1541±0.0133, FDE_b: 0.1817±0.0139, FDE_c: 27.2978±53.5981, FDE_d: 0.1802±0.0149

Results for prediction length: 50
Experiment 01: ADE_a: 0.2604±0.0148, ADE_b: 0.3165±0.0438, ADE_c: 0.8121±0.2642, ADE_c: 0.2417±0.0073, FDE_a: 0.5856±0.0751, FDE_b: 0.5494±0.0115, FDE_c: 2.7623±0.8416, FDE_d: 0.5508±0.0113
Experiment 02: ADE_a: 0.2506±0.0079, ADE_b: 0.2948±0.0303, ADE_c: 0.8789±0.2845, ADE_c: 0.2345±0.0147, FDE_a: 0.5503±0.0520, FDE_b: 0.5281±0.0272, FDE_c: 2.9939±0.8609, FDE_d: 0.5270±0.0293
Experiment 03: ADE_a: 0.2472±0.0164, ADE_b: 0.2846±0.0274, ADE_c: 0.9547±0.3071, ADE_c: 0.2332±0.0140, FDE_a: 0.5443±0.0507, FDE_b: 0.5258±0.0241, FDE_c: 3.2161±0.8872, FDE_d: 0.5263±0.0289
Experiment 04: ADE_a: 0.2385±0.0118, ADE_b: 0.2798±0.0212, ADE_c: 1.0081±0.3235, ADE_c: 0.2309±0.0108, FDE_a: 0.5220±0.0554, FDE_b: 0.5232±0.0164, FDE_c: 3.3841±0.8967, FDE_d: 0.5189±0.0186
Experiment 05: ADE_a: 0.2376±0.0099, ADE_b: 0.2695±0.0226, ADE_c: 1.0694±0.3392, ADE_c: 0.2248±0.0157, FDE_a: 0.5192±0.0532, FDE_b: 0.5153±0.0281, FDE_c: 3.5592±0.8929, FDE_d: 0.5169±0.0379
