Results for prediction length: 25
Experiment 23: ADE_a: 0.0638±0.0036, ADE_b: 0.0760±0.0056, ADE_c: 0.1722±0.0628, ADE_c: 0.0737±0.0052, FDE_a: 0.1715±0.0095, FDE_b: 0.1957±0.0115, FDE_c: 0.7079±0.3023, FDE_d: 0.1949±0.0112
Experiment 24: ADE_a: 0.0629±0.0056, ADE_b: 0.0752±0.0059, ADE_c: 0.1661±0.0615, ADE_c: 0.0730±0.0060, FDE_a: 0.1687±0.0154, FDE_b: 0.1927±0.0138, FDE_c: 0.6774±0.2958, FDE_d: 0.1916±0.0144
Experiment 25: ADE_a: 0.0614±0.0046, ADE_b: 0.0744±0.0060, ADE_c: 0.1617±0.0589, ADE_c: 0.0715±0.0055, FDE_a: 0.1662±0.0125, FDE_b: 0.1903±0.0129, FDE_c: 0.6603±0.2895, FDE_d: 0.1893±0.0123
Experiment 26: ADE_a: 0.0627±0.0046, ADE_b: 0.0765±0.0079, ADE_c: 0.1612±0.0571, ADE_c: 0.0739±0.0071, FDE_a: 0.1671±0.0122, FDE_b: 0.1936±0.0162, FDE_c: 0.6481±0.2863, FDE_d: 0.1925±0.0153
Experiment 27: ADE_a: 0.0614±0.0053, ADE_b: 0.0742±0.0068, ADE_c: 0.1584±0.0511, ADE_c: 0.0722±0.0066, FDE_a: 0.1652±0.0123, FDE_b: 0.1916±0.0143, FDE_c: 0.6304±0.2660, FDE_d: 0.1905±0.0139
Experiment 28: ADE_a: 0.0614±0.0044, ADE_b: 0.0744±0.0058, ADE_c: 0.1560±0.0519, ADE_c: 0.0720±0.0056, FDE_a: 0.1671±0.0113, FDE_b: 0.1918±0.0136, FDE_c: 0.6220±0.2669, FDE_d: 0.1912±0.0132
Experiment 29: ADE_a: 0.0615±0.0048, ADE_b: 0.0741±0.0060, ADE_c: 0.1510±0.0501, ADE_c: 0.0719±0.0059, FDE_a: 0.1671±0.0114, FDE_b: 0.1914±0.0139, FDE_c: 0.6021±0.2587, FDE_d: 0.1909±0.0137
Experiment 30: ADE_a: 0.0629±0.0040, ADE_b: 0.0753±0.0050, ADE_c: 0.1497±0.0490, ADE_c: 0.0728±0.0051, FDE_a: 0.1708±0.0095, FDE_b: 0.1937±0.0132, FDE_c: 0.5895±0.2570, FDE_d: 0.1931±0.0128
Experiment 31: ADE_a: 0.0605±0.0049, ADE_b: 0.0732±0.0058, ADE_c: 0.1480±0.0480, ADE_c: 0.0713±0.0056, FDE_a: 0.1645±0.0138, FDE_b: 0.1905±0.0132, FDE_c: 0.5757±0.2516, FDE_d: 0.1896±0.0130
Experiment 32: ADE_a: 0.0614±0.0048, ADE_b: 0.0739±0.0054, ADE_c: 0.1463±0.0462, ADE_c: 0.0719±0.0056, FDE_a: 0.1665±0.0122, FDE_b: 0.1908±0.0127, FDE_c: 0.5705±0.2506, FDE_d: 0.1904±0.0126
Experiment 33: ADE_a: 0.0614±0.0048, ADE_b: 0.0745±0.0062, ADE_c: 0.1395±0.0450, ADE_c: 0.0721±0.0059, FDE_a: 0.1666±0.0134, FDE_b: 0.1923±0.0146, FDE_c: 0.5481±0.2407, FDE_d: 0.1916±0.0135
Experiment 34: ADE_a: 0.0629±0.0073, ADE_b: 0.0763±0.0072, ADE_c: 27.2631±54.2857, ADE_c: 0.0742±0.0071, FDE_a: 0.1690±0.0171, FDE_b: 0.1970±0.0180, FDE_c: 42.9051±84.9227, FDE_d: 0.1960±0.0185
Experiment 35: ADE_a: 0.0613±0.0036, ADE_b: 0.0738±0.0059, ADE_c: 0.1363±0.0428, ADE_c: 0.0718±0.0056, FDE_a: 0.1675±0.0087, FDE_b: 0.1916±0.0118, FDE_c: 0.5299±0.2286, FDE_d: 0.1913±0.0112
Experiment 36: ADE_a: 0.0598±0.0052, ADE_b: 0.0732±0.0063, ADE_c: 0.1335±0.0416, ADE_c: 0.0711±0.0063, FDE_a: 0.1638±0.0145, FDE_b: 0.1911±0.0141, FDE_c: 0.5164±0.2246, FDE_d: 0.1904±0.0140
Experiment 37: ADE_a: 0.0608±0.0040, ADE_b: 0.0740±0.0055, ADE_c: 0.1334±0.0416, ADE_c: 0.0717±0.0054, FDE_a: 0.1655±0.0099, FDE_b: 0.1919±0.0127, FDE_c: 0.5130±0.2223, FDE_d: 0.1910±0.0124
Experiment 38: ADE_a: 0.0623±0.0048, ADE_b: 0.0757±0.0066, ADE_c: 0.1319±0.0400, ADE_c: 0.0737±0.0067, FDE_a: 0.1690±0.0109, FDE_b: 0.1958±0.0155, FDE_c: 0.5023±0.2134, FDE_d: 0.1948±0.0150
Experiment 39: ADE_a: 0.0602±0.0044, ADE_b: 0.0734±0.0061, ADE_c: 0.1298±0.0383, ADE_c: 0.0716±0.0059, FDE_a: 0.1642±0.0107, FDE_b: 0.1913±0.0133, FDE_c: 0.4937±0.2090, FDE_d: 0.1905±0.0129
Experiment 40: ADE_a: 0.0611±0.0035, ADE_b: 0.0748±0.0053, ADE_c: 0.1290±0.0388, ADE_c: 0.0723±0.0048, FDE_a: 0.1678±0.0099, FDE_b: 0.1941±0.0124, FDE_c: 0.4889±0.2102, FDE_d: 0.1933±0.0116
Experiment 41: ADE_a: 0.0592±0.0046, ADE_b: 0.0733±0.0062, ADE_c: 0.1250±0.0362, ADE_c: 0.0714±0.0058, FDE_a: 0.1611±0.0113, FDE_b: 0.1911±0.0141, FDE_c: 0.4693±0.1979, FDE_d: 0.1901±0.0136
Experiment 42: ADE_a: 0.0603±0.0040, ADE_b: 0.0743±0.0065, ADE_c: 0.1259±0.0362, ADE_c: 0.0720±0.0062, FDE_a: 0.1644±0.0091, FDE_b: 0.1938±0.0142, FDE_c: 0.4721±0.2006, FDE_d: 0.1924±0.0131
