Results for prediction length: 25
Experiment 23: ADE_a: 0.0614±0.0063, ADE_b: 0.0735±0.0070, ADE_c: 0.2347±0.1970, ADE_c: 0.0701±0.0067, FDE_a: 0.1609±0.0123, FDE_b: 0.1883±0.0155, FDE_c: 1.4102±1.8187, FDE_d: 0.1866±0.0154
Experiment 24: ADE_a: 0.0634±0.0090, ADE_b: 0.0748±0.0091, ADE_c: 0.2408±0.2063, ADE_c: 0.0715±0.0079, FDE_a: 0.1647±0.0192, FDE_b: 0.1897±0.0175, FDE_c: 1.4723±1.9580, FDE_d: 0.1886±0.0180
Experiment 25: ADE_a: 0.0606±0.0062, ADE_b: 0.0730±0.0074, ADE_c: 0.2871±0.2973, ADE_c: 0.0700±0.0070, FDE_a: 0.1583±0.0110, FDE_b: 0.1858±0.0154, FDE_c: 1.9334±2.8801, FDE_d: 0.1846±0.0148
Experiment 26: ADE_a: 0.0614±0.0070, ADE_b: 0.0734±0.0072, ADE_c: 0.2717±0.2752, ADE_c: 0.0702±0.0064, FDE_a: 0.1601±0.0167, FDE_b: 0.1867±0.0159, FDE_c: 1.7594±2.5669, FDE_d: 0.1853±0.0161
Experiment 27: ADE_a: 0.0591±0.0062, ADE_b: 0.0713±0.0071, ADE_c: 0.3435±0.4207, ADE_c: 0.0677±0.0059, FDE_a: 0.1594±0.0149, FDE_b: 0.1853±0.0129, FDE_c: 2.5877±4.2313, FDE_d: 0.1838±0.0134
Experiment 28: ADE_a: 0.0601±0.0069, ADE_b: 0.0731±0.0084, ADE_c: 0.3870±0.5000, ADE_c: 0.0691±0.0064, FDE_a: 0.1596±0.0176, FDE_b: 0.1871±0.0162, FDE_c: 3.0586±5.1675, FDE_d: 0.1849±0.0164
Experiment 29: ADE_a: 0.0585±0.0064, ADE_b: 0.0711±0.0079, ADE_c: 0.3551±0.4410, ADE_c: 0.0682±0.0074, FDE_a: 0.1549±0.0140, FDE_b: 0.1840±0.0158, FDE_c: 2.6544±4.3902, FDE_d: 0.1830±0.0160
Experiment 30: ADE_a: 0.0691±0.0227, ADE_b: 0.0856±0.0301, ADE_c: 0.3509±0.4138, ADE_c: 0.0772±0.0194, FDE_a: 0.1837±0.0590, FDE_b: 0.1996±0.0348, FDE_c: 2.4432±4.0437, FDE_d: 0.2008±0.0404
Experiment 31: ADE_a: 0.0610±0.0112, ADE_b: 0.0748±0.0137, ADE_c: 0.3273±0.3889, ADE_c: 0.0719±0.0127, FDE_a: 0.1591±0.0232, FDE_b: 0.1910±0.0242, FDE_c: 2.4829±4.1283, FDE_d: 0.1902±0.0246
Experiment 32: ADE_a: 0.0591±0.0084, ADE_b: 0.0737±0.0121, ADE_c: 0.3440±0.4359, ADE_c: 0.0708±0.0109, FDE_a: 0.1567±0.0162, FDE_b: 0.1903±0.0227, FDE_c: 2.7164±4.6357, FDE_d: 0.1875±0.0217
Experiment 33: ADE_a: 0.0574±0.0084, ADE_b: 0.0711±0.0089, ADE_c: 0.3452±0.4551, ADE_c: 0.0687±0.0087, FDE_a: 0.1512±0.0189, FDE_b: 0.1857±0.0176, FDE_c: 2.6933±4.6390, FDE_d: 0.1839±0.0177
Experiment 34: ADE_a: 0.0582±0.0079, ADE_b: 0.0706±0.0087, ADE_c: 0.3339±0.4404, ADE_c: 0.0677±0.0085, FDE_a: 0.1557±0.0172, FDE_b: 0.1837±0.0175, FDE_c: 2.5171±4.3285, FDE_d: 0.1821±0.0181
Experiment 35: ADE_a: 0.0590±0.0072, ADE_b: 0.0719±0.0081, ADE_c: 0.2955±0.3732, ADE_c: 0.0696±0.0075, FDE_a: 0.1575±0.0156, FDE_b: 0.1872±0.0158, FDE_c: 2.2171±3.8203, FDE_d: 0.1852±0.0164
Experiment 36: ADE_a: 0.0571±0.0066, ADE_b: 0.0693±0.0085, ADE_c: 0.2234±0.2375, ADE_c: 0.0667±0.0077, FDE_a: 0.1535±0.0139, FDE_b: 0.1824±0.0171, FDE_c: 1.4644±2.3320, FDE_d: 0.1809±0.0170
Experiment 37: ADE_a: 0.0576±0.0083, ADE_b: 0.0698±0.0096, ADE_c: 0.1948±0.1782, ADE_c: 0.0678±0.0093, FDE_a: 0.1528±0.0161, FDE_b: 0.1840±0.0175, FDE_c: 1.1377±1.6768, FDE_d: 0.1825±0.0181
Experiment 38: ADE_a: 0.0564±0.0056, ADE_b: 0.0695±0.0070, ADE_c: 0.1855±0.1621, ADE_c: 0.0664±0.0059, FDE_a: 0.1518±0.0120, FDE_b: 0.1823±0.0117, FDE_c: 1.0931±1.5927, FDE_d: 0.1808±0.0122
Experiment 39: ADE_a: 0.0553±0.0061, ADE_b: 0.0686±0.0072, ADE_c: 0.1848±0.1614, ADE_c: 0.0662±0.0071, FDE_a: 0.1492±0.0123, FDE_b: 0.1822±0.0153, FDE_c: 1.0471±1.5005, FDE_d: 0.1800±0.0153
Experiment 40: ADE_a: 0.0559±0.0047, ADE_b: 0.0686±0.0068, ADE_c: 0.1851±0.1624, ADE_c: 0.0663±0.0059, FDE_a: 0.1522±0.0107, FDE_b: 0.1827±0.0160, FDE_c: 1.1164±1.6441, FDE_d: 0.1804±0.0144
