Results for prediction length: 25
Experiment 23: ADE_a: 0.0618±0.0055, ADE_b: 0.0744±0.0055, ADE_c: 0.1531±0.0431, ADE_c: 0.0714±0.0055, FDE_a: 0.1650±0.0133, FDE_b: 0.1903±0.0133, FDE_c: 0.6506±0.2493, FDE_d: 0.1899±0.0133
Experiment 24: ADE_a: 0.0630±0.0060, ADE_b: 0.0755±0.0075, ADE_c: 0.1527±0.0406, ADE_c: 0.0721±0.0068, FDE_a: 0.1701±0.0157, FDE_b: 0.1938±0.0182, FDE_c: 0.6097±0.1997, FDE_d: 0.1934±0.0177
Experiment 25: ADE_a: 0.0621±0.0051, ADE_b: 0.0740±0.0049, ADE_c: 0.1441±0.0350, ADE_c: 0.0711±0.0047, FDE_a: 0.1681±0.0120, FDE_b: 0.1913±0.0113, FDE_c: 0.5814±0.1846, FDE_d: 0.1909±0.0109
Experiment 26: ADE_a: 0.0615±0.0056, ADE_b: 0.0743±0.0058, ADE_c: 0.1413±0.0339, ADE_c: 0.0708±0.0056, FDE_a: 0.1660±0.0131, FDE_b: 0.1895±0.0138, FDE_c: 0.5676±0.1794, FDE_d: 0.1891±0.0130
Experiment 27: ADE_a: 0.0607±0.0057, ADE_b: 0.0742±0.0060, ADE_c: 0.1390±0.0340, ADE_c: 0.0705±0.0056, FDE_a: 0.1627±0.0135, FDE_b: 0.1893±0.0134, FDE_c: 0.5570±0.1812, FDE_d: 0.1887±0.0133
Experiment 28: ADE_a: 0.0612±0.0057, ADE_b: 0.0737±0.0061, ADE_c: 0.1359±0.0328, ADE_c: 0.0704±0.0058, FDE_a: 0.1661±0.0133, FDE_b: 0.1895±0.0137, FDE_c: 0.5428±0.1746, FDE_d: 0.1887±0.0134
Experiment 29: ADE_a: 0.0604±0.0064, ADE_b: 0.0733±0.0068, ADE_c: 0.1329±0.0281, ADE_c: 0.0697±0.0057, FDE_a: 0.1624±0.0157, FDE_b: 0.1872±0.0120, FDE_c: 0.5306±0.1559, FDE_d: 0.1867±0.0123
Experiment 30: ADE_a: 0.0608±0.0065, ADE_b: 0.0742±0.0080, ADE_c: 0.1304±0.0271, ADE_c: 0.0705±0.0068, FDE_a: 0.1657±0.0129, FDE_b: 0.1901±0.0148, FDE_c: 0.5194±0.1512, FDE_d: 0.1895±0.0139
Experiment 31: ADE_a: 0.0598±0.0059, ADE_b: 0.0725±0.0068, ADE_c: 0.1304±0.0264, ADE_c: 0.0694±0.0064, FDE_a: 0.1624±0.0136, FDE_b: 0.1873±0.0154, FDE_c: 0.5127±0.1468, FDE_d: 0.1867±0.0147
Experiment 32: ADE_a: 0.0603±0.0056, ADE_b: 0.0731±0.0060, ADE_c: 0.1281±0.0261, ADE_c: 0.0703±0.0055, FDE_a: 0.1629±0.0129, FDE_b: 0.1891±0.0131, FDE_c: 0.5049±0.1456, FDE_d: 0.1886±0.0122
Experiment 33: ADE_a: 0.0599±0.0055, ADE_b: 0.0734±0.0065, ADE_c: 0.1255±0.0251, ADE_c: 0.0698±0.0057, FDE_a: 0.1628±0.0134, FDE_b: 0.1882±0.0139, FDE_c: 0.4931±0.1419, FDE_d: 0.1873±0.0131
Experiment 34: ADE_a: 0.0595±0.0058, ADE_b: 0.0725±0.0064, ADE_c: 0.1245±0.0251, ADE_c: 0.0696±0.0061, FDE_a: 0.1621±0.0148, FDE_b: 0.1878±0.0143, FDE_c: 0.4878±0.1398, FDE_d: 0.1870±0.0137
Experiment 35: ADE_a: 0.0603±0.0056, ADE_b: 0.0730±0.0067, ADE_c: 0.1228±0.0234, ADE_c: 0.0702±0.0061, FDE_a: 0.1647±0.0143, FDE_b: 0.1900±0.0151, FDE_c: 0.4737±0.1316, FDE_d: 0.1889±0.0147
Experiment 36: ADE_a: 0.0597±0.0051, ADE_b: 0.0735±0.0062, ADE_c: 0.1213±0.0223, ADE_c: 0.0701±0.0058, FDE_a: 0.1623±0.0119, FDE_b: 0.1890±0.0143, FDE_c: 0.4647±0.1252, FDE_d: 0.1886±0.0129
