Results for prediction length: 25
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_39.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_40.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_41.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_42.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_43.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_44.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_45.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_46.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_47.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_48.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_49.model_perf.txt
Experiment 19: ADE_a: 0.0601±0.0062, ADE_b: 0.0755±0.0082, ADE_c: 0.1619±0.0627, ADE_c: 0.0722±0.0083, FDE_a: 0.1595±0.0144, FDE_b: 0.1937±0.0191, FDE_c: 0.6818±0.4139, FDE_d: 0.1921±0.0188
Experiment 20: ADE_a: 0.0648±0.0145, ADE_b: 0.0798±0.0175, ADE_c: 216.2994±432.3336, ADE_c: 0.0773±0.0179, FDE_a: 0.1679±0.0293, FDE_b: 0.1980±0.0278, FDE_c: 74.9095±148.8424, FDE_d: 0.1968±0.0285
Experiment 21: ADE_a: 0.0597±0.0055, ADE_b: 0.0752±0.0093, ADE_c: 0.1593±0.0597, ADE_c: 0.0711±0.0088, FDE_a: 0.1572±0.0103, FDE_b: 0.1915±0.0185, FDE_c: 0.6572±0.3477, FDE_d: 0.1887±0.0171
Experiment 22: ADE_a: 0.0617±0.0072, ADE_b: 0.0772±0.0094, ADE_c: 0.1558±0.0449, ADE_c: 0.0735±0.0086, FDE_a: 0.1597±0.0167, FDE_b: 0.1951±0.0199, FDE_c: 0.6210±0.2927, FDE_d: 0.1927±0.0193
Experiment 23: ADE_a: 0.0587±0.0068, ADE_b: 0.0735±0.0089, ADE_c: 0.1593±0.0565, ADE_c: 0.0701±0.0087, FDE_a: 0.1566±0.0142, FDE_b: 0.1908±0.0190, FDE_c: 0.6674±0.3810, FDE_d: 0.1879±0.0180
Experiment 24: ADE_a: 0.0582±0.0045, ADE_b: 0.0726±0.0057, ADE_c: 0.1569±0.0397, ADE_c: 0.0691±0.0051, FDE_a: 0.1585±0.0138, FDE_b: 0.1899±0.0122, FDE_c: 0.6409±0.2559, FDE_d: 0.1875±0.0133
Experiment 25: ADE_a: 0.0573±0.0048, ADE_b: 0.0741±0.0075, ADE_c: 0.1670±0.0665, ADE_c: 0.0702±0.0067, FDE_a: 0.1540±0.0130, FDE_b: 0.1948±0.0188, FDE_c: 0.6185±0.2527, FDE_d: 0.1909±0.0182
Experiment 26: ADE_a: 0.0578±0.0052, ADE_b: 0.0742±0.0084, ADE_c: 0.1547±0.0322, ADE_c: 0.0708±0.0065, FDE_a: 0.1526±0.0143, FDE_b: 0.1917±0.0164, FDE_c: 0.5951±0.1793, FDE_d: 0.1886±0.0162
Experiment 27: ADE_a: 0.0565±0.0055, ADE_b: 0.0736±0.0091, ADE_c: 0.1675±0.0527, ADE_c: 0.0702±0.0085, FDE_a: 0.1497±0.0117, FDE_b: 0.1907±0.0182, FDE_c: 0.6784±0.2770, FDE_d: 0.1873±0.0182
Experiment 28: ADE_a: 0.0565±0.0060, ADE_b: 0.0734±0.0085, ADE_c: 0.1551±0.0357, ADE_c: 0.0683±0.0074, FDE_a: 0.1521±0.0152, FDE_b: 0.1882±0.0169, FDE_c: 0.6231±0.2152, FDE_d: 0.1850±0.0163
